,RECORD_DATE,PARAMETER,RECORDS
0,2025-02-01,TOTAL AUTOMAPPED,27751
1,2025-02-01,TOTAL DELTA,43971
2,2025-02-01,SENT TO MANUAL,16220
3,2025-01-31,TOTAL AUTOMAPPED,28741
4,2025-01-31,TOTAL DELTA,48063
5,2025-01-31,SENT TO MANUAL,19322
6,2025-02-02,TOTAL AUTOMAPPED,4818
7,2025-02-03,TOTAL AUTOMAPPED,23613
8,2025-02-03,TOTAL DELTA,50589
9,2025-02-02,TOTAL DELTA,7201
10,2025-02-03,SENT TO MANUAL,26976
11,2025-02-02,SENT TO MANUAL,2383
12,2025-02-04,TOTAL AUTOMAPPED,70605
13,2025-01-30,TOTAL AUTOMAPPED,113554
14,2025-02-04,TOTAL DELTA,120759
15,2025-01-30,TOTAL DELTA,217681
16,2025-02-04,SENT TO MANUAL,50148
17,2025-01-30,SENT TO MANUAL,104094
